0 - solids took 4654.31922293ec


mean: -0.02787, std: 0.00375, params: {'hidden0_num_units': 13, 'hidden1_num_units': 17}
mean: -0.02787, std: 0.00375, params: {'hidden0_num_units': 13, 'hidden1_num_units': 18}
mean: -0.02787, std: 0.00375, params: {'hidden0_num_units': 13, 'hidden1_num_units': 19}
mean: -0.02787, std: 0.00375, params: {'hidden0_num_units': 13, 'hidden1_num_units': 20}
mean: -0.03366, std: 0.00839, params: {'hidden0_num_units': 13, 'hidden1_num_units': 21}
mean: -0.03961, std: 0.01394, params: {'hidden0_num_units': 13, 'hidden1_num_units': 22}
mean: -0.04569, std: 0.01038, params: {'hidden0_num_units': 13, 'hidden1_num_units': 23}
mean: -0.04569, std: 0.01038, params: {'hidden0_num_units': 13, 'hidden1_num_units': 24}
mean: -0.04569, std: 0.01038, params: {'hidden0_num_units': 13, 'hidden1_num_units': 25}
mean: -0.04569, std: 0.01038, params: {'hidden0_num_units': 13, 'hidden1_num_units': 26}
mean: -0.04569, std: 0.01038, params: {'hidden0_num_units': 13, 'hidden1_num_units': 27}
mean: -0.04439, std: 0.01193, params: {'hidden0_num_units': 13, 'hidden1_num_units': 28}
mean: -0.08153, std: 0.03388, params: {'hidden0_num_units': 13, 'hidden1_num_units': 29}
mean: -0.08023, std: 0.03571, params: {'hidden0_num_units': 13, 'hidden1_num_units': 30}
mean: -0.08023, std: 0.03571, params: {'hidden0_num_units': 13, 'hidden1_num_units': 31}
mean: -0.08023, std: 0.03571, params: {'hidden0_num_units': 14, 'hidden1_num_units': 5}
mean: -0.08023, std: 0.03571, params: {'hidden0_num_units': 14, 'hidden1_num_units': 6}
mean: -0.05497, std: 0.03393, params: {'hidden0_num_units': 14, 'hidden1_num_units': 7}
mean: -0.08023, std: 0.03571, params: {'hidden0_num_units': 14, 'hidden1_num_units': 8}
mean: -0.03814, std: 0.00723, params: {'hidden0_num_units': 14, 'hidden1_num_units': 9}
mean: -0.03814, std: 0.00723, params: {'hidden0_num_units': 14, 'hidden1_num_units': 10}
mean: -0.03814, std: 0.00723, params: {'hidden0_num_units': 14, 'hidden1_num_units': 11}
mean: -0.03814, std: 0.00723, params: {'hidden0_num_units': 14, 'hidden1_num_units': 12}
mean: -0.03814, std: 0.00723, params: {'hidden0_num_units': 14, 'hidden1_num_units': 13}
mean: -0.03281, std: 0.00078, params: {'hidden0_num_units': 14, 'hidden1_num_units': 14}
mean: -0.03754, std: 0.00775, params: {'hidden0_num_units': 14, 'hidden1_num_units': 15}
mean: -0.03631, std: 0.00704, params: {'hidden0_num_units': 14, 'hidden1_num_units': 16}
mean: -0.03631, std: 0.00704, params: {'hidden0_num_units': 14, 'hidden1_num_units': 17}
mean: -0.03631, std: 0.00704, params: {'hidden0_num_units': 14, 'hidden1_num_units': 18}
mean: -0.03631, std: 0.00704, params: {'hidden0_num_units': 14, 'hidden1_num_units': 19}
mean: -0.03631, std: 0.00704, params: {'hidden0_num_units': 14, 'hidden1_num_units': 20}
mean: -0.02944, std: 0.00283, params: {'hidden0_num_units': 14, 'hidden1_num_units': 21}
mean: -0.02894, std: 0.00275, params: {'hidden0_num_units': 14, 'hidden1_num_units': 22}
mean: -0.02681, std: 0.00147, params: {'hidden0_num_units': 14, 'hidden1_num_units': 23}
mean: -0.02681, std: 0.00147, params: {'hidden0_num_units': 14, 'hidden1_num_units': 24}
mean: -0.02681, std: 0.00147, params: {'hidden0_num_units': 14, 'hidden1_num_units': 25}
mean: -0.02681, std: 0.00147, params: {'hidden0_num_units': 14, 'hidden1_num_units': 26}
mean: -0.03553, std: 0.01378, params: {'hidden0_num_units': 14, 'hidden1_num_units': 27}
mean: -0.03553, std: 0.01378, params: {'hidden0_num_units': 14, 'hidden1_num_units': 28}
mean: -0.03758, std: 0.01262, params: {'hidden0_num_units': 14, 'hidden1_num_units': 29}
mean: -0.03527, std: 0.01501, params: {'hidden0_num_units': 14, 'hidden1_num_units': 30}
mean: -0.03527, std: 0.01501, params: {'hidden0_num_units': 14, 'hidden1_num_units': 31}
mean: -0.03527, std: 0.01501, params: {'hidden0_num_units': 15, 'hidden1_num_units': 5}
mean: -0.03527, std: 0.01501, params: {'hidden0_num_units': 15, 'hidden1_num_units': 6}
mean: -0.03674, std: 0.01485, params: {'hidden0_num_units': 15, 'hidden1_num_units': 7}
mean: -0.03030, std: 0.00824, params: {'hidden0_num_units': 15, 'hidden1_num_units': 8}
mean: -0.03030, std: 0.00824, params: {'hidden0_num_units': 15, 'hidden1_num_units': 9}
mean: -0.03139, std: 0.00669, params: {'hidden0_num_units': 15, 'hidden1_num_units': 10}
mean: -0.03139, std: 0.00669, params: {'hidden0_num_units': 15, 'hidden1_num_units': 11}
mean: -0.03139, std: 0.00669, params: {'hidden0_num_units': 15, 'hidden1_num_units': 12}
mean: -0.03139, std: 0.00669, params: {'hidden0_num_units': 15, 'hidden1_num_units': 13}
mean: -0.03717, std: 0.00206, params: {'hidden0_num_units': 15, 'hidden1_num_units': 14}
mean: -0.03636, std: 0.01206, params: {'hidden0_num_units': 15, 'hidden1_num_units': 15}
mean: -0.04214, std: 0.00689, params: {'hidden0_num_units': 15, 'hidden1_num_units': 16}
mean: -0.04214, std: 0.00689, params: {'hidden0_num_units': 15, 'hidden1_num_units': 17}
mean: -0.04214, std: 0.00689, params: {'hidden0_num_units': 15, 'hidden1_num_units': 18}
mean: -0.04214, std: 0.00689, params: {'hidden0_num_units': 15, 'hidden1_num_units': 19}
mean: -0.04214, std: 0.00689, params: {'hidden0_num_units': 15, 'hidden1_num_units': 20}
mean: -0.03038, std: 0.00329, params: {'hidden0_num_units': 15, 'hidden1_num_units': 21}
mean: -0.03318, std: 0.01329, params: {'hidden0_num_units': 15, 'hidden1_num_units': 22}
mean: -0.02546, std: 0.00368, params: {'hidden0_num_units': 15, 'hidden1_num_units': 23}
mean: -0.02546, std: 0.00368, params: {'hidden0_num_units': 15, 'hidden1_num_units': 24}
