took 30274.8471901ec


mean: -0.06467, std: 0.01708, params: {'hidden0_num_units': 9, 'hidden1_num_units': 13}
mean: -0.06467, std: 0.01708, params: {'hidden0_num_units': 9, 'hidden1_num_units': 14}
mean: -0.06467, std: 0.01708, params: {'hidden0_num_units': 9, 'hidden1_num_units': 15}
mean: -0.06485, std: 0.01734, params: {'hidden0_num_units': 9, 'hidden1_num_units': 16}
mean: -0.06518, std: 0.01718, params: {'hidden0_num_units': 9, 'hidden1_num_units': 17}
mean: -0.06442, std: 0.01788, params: {'hidden0_num_units': 9, 'hidden1_num_units': 18}
mean: -0.06442, std: 0.01788, params: {'hidden0_num_units': 9, 'hidden1_num_units': 19}
mean: -0.06442, std: 0.01788, params: {'hidden0_num_units': 9, 'hidden1_num_units': 20}
mean: -0.06442, std: 0.01788, params: {'hidden0_num_units': 9, 'hidden1_num_units': 21}
mean: -0.06442, std: 0.01788, params: {'hidden0_num_units': 9, 'hidden1_num_units': 22}
mean: -0.05900, std: 0.00879, params: {'hidden0_num_units': 9, 'hidden1_num_units': 23}
mean: -0.05900, std: 0.00879, params: {'hidden0_num_units': 9, 'hidden1_num_units': 24}
mean: -0.05840, std: 0.00897, params: {'hidden0_num_units': 9, 'hidden1_num_units': 25}
mean: -0.05840, std: 0.00897, params: {'hidden0_num_units': 9, 'hidden1_num_units': 26}
mean: -0.05840, std: 0.00897, params: {'hidden0_num_units': 9, 'hidden1_num_units': 27}
mean: -0.05840, std: 0.00897, params: {'hidden0_num_units': 9, 'hidden1_num_units': 28}
mean: -0.05874, std: 0.00944, params: {'hidden0_num_units': 9, 'hidden1_num_units': 29}
mean: -0.06098, std: 0.00689, params: {'hidden0_num_units': 9, 'hidden1_num_units': 30}
mean: -0.06148, std: 0.00724, params: {'hidden0_num_units': 9, 'hidden1_num_units': 31}
mean: -0.06148, std: 0.00724, params: {'hidden0_num_units': 10, 'hidden1_num_units': 5}
mean: -0.06148, std: 0.00724, params: {'hidden0_num_units': 10, 'hidden1_num_units': 6}
mean: -0.06148, std: 0.00724, params: {'hidden0_num_units': 10, 'hidden1_num_units': 7}
mean: -0.06148, std: 0.00724, params: {'hidden0_num_units': 10, 'hidden1_num_units': 8}
mean: -0.06408, std: 0.00660, params: {'hidden0_num_units': 10, 'hidden1_num_units': 9}
mean: -0.05991, std: 0.01251, params: {'hidden0_num_units': 10, 'hidden1_num_units': 10}
mean: -0.06252, std: 0.01248, params: {'hidden0_num_units': 10, 'hidden1_num_units': 11}
mean: -0.06252, std: 0.01248, params: {'hidden0_num_units': 10, 'hidden1_num_units': 12}
mean: -0.06252, std: 0.01248, params: {'hidden0_num_units': 10, 'hidden1_num_units': 13}
mean: -0.06252, std: 0.01248, params: {'hidden0_num_units': 10, 'hidden1_num_units': 14}
mean: -0.06252, std: 0.01248, params: {'hidden0_num_units': 10, 'hidden1_num_units': 15}
mean: -0.06273, std: 0.01000, params: {'hidden0_num_units': 10, 'hidden1_num_units': 16}
mean: -0.06626, std: 0.02009, params: {'hidden0_num_units': 10, 'hidden1_num_units': 17}
mean: -0.06849, std: 0.01800, params: {'hidden0_num_units': 10, 'hidden1_num_units': 18}
mean: -0.06849, std: 0.01800, params: {'hidden0_num_units': 10, 'hidden1_num_units': 19}
mean: -0.06849, std: 0.01800, params: {'hidden0_num_units': 10, 'hidden1_num_units': 20}
mean: -0.06849, std: 0.01800, params: {'hidden0_num_units': 10, 'hidden1_num_units': 21}
mean: -0.06842, std: 0.01790, params: {'hidden0_num_units': 10, 'hidden1_num_units': 22}
mean: -0.07605, std: 0.01419, params: {'hidden0_num_units': 10, 'hidden1_num_units': 23}
mean: -0.08088, std: 0.00895, params: {'hidden0_num_units': 10, 'hidden1_num_units': 24}
mean: -0.08088, std: 0.00895, params: {'hidden0_num_units': 10, 'hidden1_num_units': 25}
mean: -0.08088, std: 0.00895, params: {'hidden0_num_units': 10, 'hidden1_num_units': 26}
mean: -0.08088, std: 0.00895, params: {'hidden0_num_units': 10, 'hidden1_num_units': 27}
mean: -0.08088, std: 0.00895, params: {'hidden0_num_units': 10, 'hidden1_num_units': 28}
mean: -0.07087, std: 0.00810, params: {'hidden0_num_units': 10, 'hidden1_num_units': 29}
mean: -0.07560, std: 0.00162, params: {'hidden0_num_units': 10, 'hidden1_num_units': 30}
mean: -0.07095, std: 0.00814, params: {'hidden0_num_units': 10, 'hidden1_num_units': 31}
mean: -0.07095, std: 0.00814, params: {'hidden0_num_units': 11, 'hidden1_num_units': 5}
mean: -0.07095, std: 0.00814, params: {'hidden0_num_units': 11, 'hidden1_num_units': 6}
mean: -0.07095, std: 0.00814, params: {'hidden0_num_units': 11, 'hidden1_num_units': 7}
mean: -0.07095, std: 0.00814, params: {'hidden0_num_units': 11, 'hidden1_num_units': 8}
mean: -0.06010, std: 0.01241, params: {'hidden0_num_units': 11, 'hidden1_num_units': 9}
mean: -0.06635, std: 0.01121, params: {'hidden0_num_units': 11, 'hidden1_num_units': 10}
mean: -0.05847, std: 0.01011, params: {'hidden0_num_units': 11, 'hidden1_num_units': 11}
mean: -0.05847, std: 0.01011, params: {'hidden0_num_units': 11, 'hidden1_num_units': 12}
mean: -0.05847, std: 0.01011, params: {'hidden0_num_units': 11, 'hidden1_num_units': 13}
mean: -0.05847, std: 0.01011, params: {'hidden0_num_units': 11, 'hidden1_num_units': 14}
mean: -0.06325, std: 0.01687, params: {'hidden0_num_units': 11, 'hidden1_num_units': 15}
mean: -0.05753, std: 0.01077, params: {'hidden0_num_units': 11, 'hidden1_num_units': 16}
mean: -0.06917, std: 0.01550, params: {'hidden0_num_units': 11, 'hidden1_num_units': 17}
mean: -0.06917, std: 0.01550, params: {'hidden0_num_units': 11, 'hidden1_num_units': 18}
mean: -0.06917, std: 0.01550, params: {'hidden0_num_units': 11, 'hidden1_num_units': 19}
mean: -0.06917, std: 0.01550, params: {'hidden0_num_units': 11, 'hidden1_num_units': 20}
mean: -0.06917, std: 0.01550, params: {'hidden0_num_units': 11, 'hidden1_num_units': 21}
mean: -0.07916, std: 0.02160, params: {'hidden0_num_units': 11, 'hidden1_num_units': 22}
mean: -0.07499, std: 0.01820, params: {'hidden0_num_units': 11, 'hidden1_num_units': 23}
mean: -0.07934, std: 0.02135, params: {'hidden0_num_units': 11, 'hidden1_num_units': 24}
mean: -0.07934, std: 0.02135, params: {'hidden0_num_units': 11, 'hidden1_num_units': 25}
mean: -0.07934, std: 0.02135, params: {'hidden0_num_units': 11, 'hidden1_num_units': 26}
mean: -0.07934, std: 0.02135, params: {'hidden0_num_units': 11, 'hidden1_num_units': 27}
mean: -0.07934, std: 0.02135, params: {'hidden0_num_units': 11, 'hidden1_num_units': 28}
mean: -0.06866, std: 0.02188, params: {'hidden0_num_units': 11, 'hidden1_num_units': 29}
mean: -0.06552, std: 0.01634, params: {'hidden0_num_units': 11, 'hidden1_num_units': 30}
mean: -0.05357, std: 0.00063, params: {'hidden0_num_units': 11, 'hidden1_num_units': 31}
mean: -0.05357, std: 0.00063, params: {'hidden0_num_units': 12, 'hidden1_num_units': 5}
mean: -0.05357, std: 0.00063, params: {'hidden0_num_units': 12, 'hidden1_num_units': 6}
mean: -0.05357, std: 0.00063, params: {'hidden0_num_units': 12, 'hidden1_num_units': 7}
mean: -0.06905, std: 0.02244, params: {'hidden0_num_units': 12, 'hidden1_num_units': 8}
mean: -0.07010, std: 0.02176, params: {'hidden0_num_units': 12, 'hidden1_num_units': 9}
mean: -0.08786, std: 0.02447, params: {'hidden0_num_units': 12, 'hidden1_num_units': 10}
