took 312.488506079ec


mean: -0.00835, std: 0.00173, params: {'max_depth': 18, 'min_samples_leaf': 9}
mean: -0.00888, std: 0.00188, params: {'max_depth': 18, 'min_samples_leaf': 10}
mean: -0.00950, std: 0.00159, params: {'max_depth': 18, 'min_samples_leaf': 11}
mean: -0.01117, std: 0.00181, params: {'max_depth': 18, 'min_samples_leaf': 12}
mean: -0.01156, std: 0.00151, params: {'max_depth': 18, 'min_samples_leaf': 13}
mean: -0.01093, std: 0.00158, params: {'max_depth': 18, 'min_samples_leaf': 14}
mean: -0.00275, std: 0.00373, params: {'max_depth': 19, 'min_samples_leaf': 1}
mean: -0.00581, std: 0.00311, params: {'max_depth': 19, 'min_samples_leaf': 2}
mean: -0.00254, std: 0.00004, params: {'max_depth': 19, 'min_samples_leaf': 3}
mean: -0.00518, std: 0.00239, params: {'max_depth': 19, 'min_samples_leaf': 4}
mean: -0.00746, std: 0.00212, params: {'max_depth': 19, 'min_samples_leaf': 5}
mean: -0.00793, std: 0.00196, params: {'max_depth': 19, 'min_samples_leaf': 6}
mean: -0.00590, std: 0.00008, params: {'max_depth': 19, 'min_samples_leaf': 7}
mean: -0.00779, std: 0.00181, params: {'max_depth': 19, 'min_samples_leaf': 8}
mean: -0.00835, std: 0.00195, params: {'max_depth': 19, 'min_samples_leaf': 9}
mean: -0.00892, std: 0.00162, params: {'max_depth': 19, 'min_samples_leaf': 10}
mean: -0.00953, std: 0.00189, params: {'max_depth': 19, 'min_samples_leaf': 11}
mean: -0.00888, std: 0.00010, params: {'max_depth': 19, 'min_samples_leaf': 12}
mean: -0.01160, std: 0.00176, params: {'max_depth': 19, 'min_samples_leaf': 13}
mean: -0.01101, std: 0.00152, params: {'max_depth': 19, 'min_samples_leaf': 14}
mean: -0.00559, std: 0.00394, params: {'max_depth': 20, 'min_samples_leaf': 1}
mean: -0.00139, std: 0.00000, params: {'max_depth': 20, 'min_samples_leaf': 2}
mean: -0.00435, std: 0.00262, params: {'max_depth': 20, 'min_samples_leaf': 3}
mean: -0.00683, std: 0.00237, params: {'max_depth': 20, 'min_samples_leaf': 4}
mean: -0.00586, std: 0.00213, params: {'max_depth': 20, 'min_samples_leaf': 5}
mean: -0.00654, std: 0.00197, params: {'max_depth': 20, 'min_samples_leaf': 6}
mean: -0.00587, std: 0.00004, params: {'max_depth': 20, 'min_samples_leaf': 7}
mean: -0.00785, std: 0.00175, params: {'max_depth': 20, 'min_samples_leaf': 8}
mean: -0.00708, std: 0.00015, params: {'max_depth': 20, 'min_samples_leaf': 9}
mean: -0.00773, std: 0.00006, params: {'max_depth': 20, 'min_samples_leaf': 10}
mean: -0.01069, std: 0.00183, params: {'max_depth': 20, 'min_samples_leaf': 11}
mean: -0.00875, std: 0.00015, params: {'max_depth': 20, 'min_samples_leaf': 12}
mean: -0.01039, std: 0.00158, params: {'max_depth': 20, 'min_samples_leaf': 13}
mean: -0.01089, std: 0.00182, params: {'max_depth': 20, 'min_samples_leaf': 14}
mean: -0.00822, std: 0.00014, params: {'max_depth': 21, 'min_samples_leaf': 1}
mean: -0.00138, std: 0.00000, params: {'max_depth': 21, 'min_samples_leaf': 2}
mean: -0.00436, std: 0.00263, params: {'max_depth': 21, 'min_samples_leaf': 3}
mean: -0.00513, std: 0.00227, params: {'max_depth': 21, 'min_samples_leaf': 4}
mean: -0.00738, std: 0.00213, params: {'max_depth': 21, 'min_samples_leaf': 5}
mean: -0.00793, std: 0.00196, params: {'max_depth': 21, 'min_samples_leaf': 6}
mean: -0.00583, std: 0.00005, params: {'max_depth': 21, 'min_samples_leaf': 7}
mean: -0.00916, std: 0.00185, params: {'max_depth': 21, 'min_samples_leaf': 8}
mean: -0.00969, std: 0.00178, params: {'max_depth': 21, 'min_samples_leaf': 9}
mean: -0.00893, std: 0.00170, params: {'max_depth': 21, 'min_samples_leaf': 10}
mean: -0.01068, std: 0.00165, params: {'max_depth': 21, 'min_samples_leaf': 11}
mean: -0.01002, std: 0.00161, params: {'max_depth': 21, 'min_samples_leaf': 12}
mean: -0.00927, std: 0.00014, params: {'max_depth': 21, 'min_samples_leaf': 13}
mean: -0.01090, std: 0.00146, params: {'max_depth': 21, 'min_samples_leaf': 14}
mean: -0.00545, std: 0.00386, params: {'max_depth': 22, 'min_samples_leaf': 1}
mean: -0.00367, std: 0.00323, params: {'max_depth': 22, 'min_samples_leaf': 2}
mean: -0.00621, std: 0.00261, params: {'max_depth': 22, 'min_samples_leaf': 3}
mean: -0.00517, std: 0.00239, params: {'max_depth': 22, 'min_samples_leaf': 4}
mean: -0.00740, std: 0.00221, params: {'max_depth': 22, 'min_samples_leaf': 5}
mean: -0.00658, std: 0.00194, params: {'max_depth': 22, 'min_samples_leaf': 6}
mean: -0.00723, std: 0.00205, params: {'max_depth': 22, 'min_samples_leaf': 7}
mean: -0.00910, std: 0.00193, params: {'max_depth': 22, 'min_samples_leaf': 8}
mean: -0.01091, std: 0.00014, params: {'max_depth': 22, 'min_samples_leaf': 9}
mean: -0.00888, std: 0.00174, params: {'max_depth': 22, 'min_samples_leaf': 10}
mean: -0.00952, std: 0.00172, params: {'max_depth': 22, 'min_samples_leaf': 11}
mean: -0.01008, std: 0.00160, params: {'max_depth': 22, 'min_samples_leaf': 12}
mean: -0.01276, std: 0.00020, params: {'max_depth': 22, 'min_samples_leaf': 13}
mean: -0.00974, std: 0.00019, params: {'max_depth': 22, 'min_samples_leaf': 14}
mean: -0.00267, std: 0.00378, params: {'max_depth': 23, 'min_samples_leaf': 1}
mean: -0.00138, std: 0.00000, params: {'max_depth': 23, 'min_samples_leaf': 2}
mean: -0.00620, std: 0.00259, params: {'max_depth': 23, 'min_samples_leaf': 3}
mean: -0.00516, std: 0.00225, params: {'max_depth': 23, 'min_samples_leaf': 4}
mean: -0.00740, std: 0.00210, params: {'max_depth': 23, 'min_samples_leaf': 5}
